session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
615643d8b3ffe2183680e95e,613a726daa7f5d53448ac6f1,APPROVED,2021-09-30 23:10:19.570000,2021-09-30 23:29:59.561000,1179.991,22,6,0,100,2021-10-01 17:06:02.324000,NOCODE,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,Yes
615643e08c21b7a806bd7e73,5ca7ca2ea5568f0015f74ecc,APPROVED,2021-09-30 23:10:26.451000,2021-09-30 23:26:06.241000,939.79,22,158,2,99,2021-10-01 17:06:34.268000,NOCODE,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English",Portugal,Male,DATA EXPIRED
615643f91f03dd2a4d88426a,6145fc6d330b1fdceafcf357,RETURNED,2021-09-30 23:10:58.811000,,505785.00113,24,4,1,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6156442c0f0cb9906df368cb,615629856035c115f0474156,APPROVED,2021-09-30 23:11:42.260000,2021-09-30 23:27:50.561000,968.301,27,16,0,100,2021-10-01 16:58:44.352000,8159,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
6156442c97c1af5bac458aa4,613ae5638932fba74123e1b5,RETURNED,2021-09-30 23:11:50.148000,,505733.713849,25,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6156445665e9aecd3f034a9d,6154b3a7e4bc93e1ce93c6bc,APPROVED,2021-09-30 23:12:46.455000,2021-09-30 23:41:47.786000,1741.331,19,7,0,100,2021-10-01 16:59:41.101000,875B6695,Mexico,Mexico,Other,Spanish,"English, Spanish",Mexico,Male,Yes
615644979ff85feceb1150e6,615494de474593dbd1e1f370,APPROVED,2021-09-30 23:13:37.247000,2021-09-30 23:37:25.540000,1428.293,21,8,0,100,2021-10-01 16:59:42.975000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
61564521b17e1de766eba8b1,615281558905c5e6282539b7,APPROVED,2021-09-30 23:16:06.177000,2021-09-30 23:39:08.878000,1382.701,25,5,0,100,2021-10-01 17:01:13.619000,875B6695,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,No
6156453845d154e4e42cb2cd,614f5fdc92cf035aad2ba1b2,APPROVED,2021-09-30 23:16:16.360000,2021-09-30 23:41:50.093000,1533.733,21,10,0,100,2021-10-01 17:04:39.552000,875B6695,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
615646a61acf44712a7d440d,6154da8cefc9f162773e69c5,APPROVED,2021-09-30 23:22:23.163000,2021-09-30 23:43:08.365000,1245.202,24,7,0,100,2021-10-01 16:59:38.211000,NOCODE,Hungary,Hungary,Unemployed (and job seeking),Hungarian,English,Hungary,Male,No
615648ed47bcf2162446d853,615313709266fea7e6660549,APPROVED,2021-09-30 23:31:57.439000,2021-10-01 00:00:30.448000,1713.009,37,14,1,97,2021-10-01 17:00:58.173000,NOCODE,Macedonia,Germany,Full-Time,Macedonian,"English, German, Macedonian",Germany,Male,No
6156495012d780eef67bb105,614df627d93b2a9cc5eb99d5,RETURNED,2021-09-30 23:33:47.057000,,504416.950785,24,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61564cbbfa651ea286b97ac0,613be8c539a05b59e17d863f,APPROVED,2021-09-30 23:53:06.752000,2021-10-01 00:09:00.563000,953.811,23,22,0,100,2021-10-01 17:05:54.250000,875B6695,Mexico,Mexico,Due to start a new job within the next month,Spanish,"English, Spanish",Mexico,Female,Yes
61565691350fb50991547557,5c0e94f62932300001e2e0d3,APPROVED,2021-10-01 00:30:09.807000,2021-10-01 00:46:18.326000,968.519,21,279,2,100,2021-10-01 17:06:36.354000,875B6695,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
61574043f037125f44904f56,5f4e76eff69af505fa21da55,APPROVED,2021-10-01 17:07:15.577000,2021-10-01 19:07:42.543000,7226.966,23,191,0,100,2021-10-01 19:07:42.607000,Manual Completion,Poland,Poland,Part-Time,Polish,"Polish, English",Poland,Male,Yes
615753ad5f3460a7aab5c686,610ea5f9fb2602b27fd2581a,APPROVED,2021-10-01 18:30:31.003000,2021-10-01 19:07:37.906000,2226.903,26,51,1,98,2021-10-01 19:07:37.992000,Manual Completion,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"English, Portuguese",Portugal,Male,Yes
