,jspsychID,trial_num,stimulus,time_elapse,causal_rating,cause_rt,animacy_rating,anim_rt,trial_rt,time_elapse.1,subject_id,vid_num,ball A,outcome,cf
86,bht4czhyag645lg,39,05_a_in_out.mp4,601287.0,100,5006.0,100,3504.900000035763,5720.100000023842,601287.0,8,5,animate,in,out
87,bht4czhyag645lg,40,06_a_in_out.mp4,607880.0,67,3836.699999988079,100,4678.799999952316,5338.799999952316,607880.0,8,6,animate,in,out
88,bht4czhyag645lg,41,19_a_out_in.mp4,649333.0,86,38566.10000002384,100,39848.10000002384,40449.19999998808,649333.0,8,19,animate,out,in
89,bht4czhyag645lg,42,24_p_out_in.mp4,658308.0,75,4887.600000023842,14,6848.600000023842,7460.699999988079,658308.0,8,24,inanimate,out,in
90,bht4czhyag645lg,43,08_p_in_in.mp4,670610.0,1,9926.80000001192,1,11215.900000035765,11795.700000047684,670610.0,8,8,inanimate,in,in
91,bht4czhyag645lg,44,15_a_out_out.mp4,677470.0,70,4018.199999988079,100,5560.199999988079,6356.300000011921,677470.0,8,15,animate,out,out
92,bht4czhyag645lg,45,22_p_out_in.mp4,690615.0,36,5065.0,11,12096.0,12891.900000035765,690615.0,8,22,inanimate,out,in
93,bht4czhyag645lg,46,21_p_out_in.mp4,699752.0,35,5439.900000035763,1,7992.0,8625.0,699752.0,8,21,inanimate,out,in
94,bht4czhyag645lg,47,19_p_out_in.mp4,707006.0,28,5077.900000035763,1,6405.900000035763,6998.900000035763,707006.0,8,19,inanimate,out,in
95,bht4czhyag645lg,48,03_p_in_out.mp4,718321.0,100,5316.800000011921,27,9927.899999976158,10557.80000001192,718321.0,8,3,inanimate,in,out
96,26g5jp57pvqxkau,1,18_a_out_out.mp4,125462.0,1,20273.79999999702,100,37417.20000000298,38506.29999999702,125462.0,9,18,animate,out,out
97,26g5jp57pvqxkau,2,17_a_out_out.mp4,144468.0,1,11187.90000000596,100,14834.40000000596,18502.20000000298,144468.0,9,17,animate,out,out
98,26g5jp57pvqxkau,3,24_a_out_in.mp4,183196.0,28,33434.5,100,37207.0,37725.0,183196.0,9,24,animate,out,in
99,26g5jp57pvqxkau,4,04_p_in_out.mp4,215985.0,82,27785.69999999553,1,31846.89999999851,32535.5,215985.0,9,4,inanimate,in,out
100,26g5jp57pvqxkau,5,15_p_out_out.mp4,239062.0,15,15733.39999999851,12,20730.29999999702,21323.19999999553,239062.0,9,15,inanimate,out,out
101,26g5jp57pvqxkau,6,23_a_out_in.mp4,251604.0,70,9024.40000000596,100,10138.60000000149,10538.90000000596,251604.0,9,23,animate,out,in
102,26g5jp57pvqxkau,7,21_a_out_in.mp4,282550.0,69,24349.60000000149,100,28947.30000000447,29442.40000000596,282550.0,9,21,animate,out,in
103,26g5jp57pvqxkau,8,18_p_out_out.mp4,297230.0,1,10665.70000000298,1,12820.89999999851,14178.20000000298,297230.0,9,18,inanimate,out,out
104,26g5jp57pvqxkau,9,09_p_in_in.mp4,316922.0,22,10236.60000000149,37,18244.5,18688.5,316922.0,9,9,inanimate,in,in
105,26g5jp57pvqxkau,10,02_a_in_out.mp4,336414.0,1,15914.10000000149,100,17595.5,18238.39999999851,336414.0,9,2,animate,in,out
106,26g5jp57pvqxkau,11,20_p_out_in.mp4,355074.0,80,15854.39999999851,24,17157.5,17656.69999999553,355074.0,9,20,inanimate,out,in
107,26g5jp57pvqxkau,12,03_p_in_out.mp4,365747.0,100,5093.80000000447,1,9223.30000000447,9920.30000000447,365747.0,9,3,inanimate,in,out
108,26g5jp57pvqxkau,13,12_p_in_in.mp4,376009.0,28,6452.5,23,8052.70000000298,8508.80000000447,376009.0,9,12,inanimate,in,in
109,26g5jp57pvqxkau,14,13_a_out_out.mp4,383455.0,76,5048.79999999702,78,6303.10000000149,6692.20000000298,383455.0,9,13,animate,out,out
110,26g5jp57pvqxkau,15,13_p_out_out.mp4,395416.0,28,5223.39999999851,1,9629.89999999851,10458.19999999553,395416.0,9,13,inanimate,out,out
111,26g5jp57pvqxkau,16,07_a_in_in.mp4,408745.0,15,6379.5,85,12092.29999999702,12824.39999999851,408745.0,9,7,animate,in,in
112,26g5jp57pvqxkau,17,05_a_in_out.mp4,455824.0,100,42914.19999999553,79,45687.5,46075.59999999404,455824.0,9,5,animate,in,out
113,26g5jp57pvqxkau,18,07_p_in_in.mp4,471240.0,1,9754.80000000447,18,13504.5,14412.70000000298,471240.0,9,7,inanimate,in,in
114,26g5jp57pvqxkau,19,20_a_out_in.mp4,573589.0,25,100862.0,81,8587.60000000149,101595.10000000148,573589.0,9,20,animate,out,in
115,26g5jp57pvqxkau,20,10_a_in_in.mp4,587279.0,1,10205.70000000298,81,11615.0,12187.0,587279.0,9,10,animate,in,in
116,26g5jp57pvqxkau,21,12_a_in_in.mp4,596201.0,1,6263.20000000298,100,7471.10000000149,7919.30000000447,596201.0,9,12,animate,in,in
117,26g5jp57pvqxkau,22,21_p_out_in.mp4,606133.0,85,4690.19999999553,1,8727.79999999702,9427.79999999702,606133.0,9,21,inanimate,out,in
118,26g5jp57pvqxkau,23,06_p_in_out.mp4,619469.0,100,4256.20000000298,1,11411.20000000298,12083.40000000596,619469.0,9,6,inanimate,in,out
119,26g5jp57pvqxkau,24,11_p_in_in.mp4,627768.0,1,4901.39999999851,1,6018.60000000149,6544.39999999851,627768.0,9,11,inanimate,in,in
120,26g5jp57pvqxkau,25,08_p_in_in.mp4,721015.0,21,89046.30000000447,1,90729.20000000298,91229.39999999852,721015.0,9,8,inanimate,in,in
121,26g5jp57pvqxkau,26,05_p_in_out.mp4,727367.0,100,3912.29999999702,1,5372.39999999851,5848.5,727367.0,9,5,inanimate,in,out
122,26g5jp57pvqxkau,27,04_a_in_out.mp4,734868.0,100,4383.89999999851,79,5158.79999999702,5748.0,734868.0,9,4,animate,in,out
